Fish;hakai_id;Stock 1;Region 1;Prob 1;Stock 2;Region 2;Prob 2;Stock 3;Region 3;Prob 3;Stock 4;Region 4;Prob 4;Stock 5;Region 5;Prob 5
Hakai_P_A12 (15) unkn 144 1180;;Chilko;3;0.80;Chilko_south;2;0.16;Porter_Cr;1;0.02;Kuzkwa_Cr;3;0.01;Narrows;1;0.00
Hakai_P_A12 (15) unkn 144 1186;;Kuzkwa_Cr;3;0.39;Chilko;3;0.33;Pinchi_Cr;3;0.16;Chilko_south;2;0.06;Tachie;3;0.04
Hakai_P_A12 (15) unkn 144 1187;;Porter_Cr;1;0.59;Kuzkwa_Cr;3;0.20;Pinchi_Cr;3;0.05;Stellako;3;0.04;Narrows;1;0.03
Hakai_P_A12 (15) unkn 144 1206;;Thompson_N;2;0.49;Birkenhead;3;0.34;Chilko;3;0.11;L_Horsefly;3;0.04;Pinchi_Cr;3;0.01
Hakai_P_A12 (15) unkn 144 1207;;Thompson_N;2;0.95;Chilko;3;0.04;Portage_Cr;4;0.01;;;;;;
Hakai_P_A12 (15) unkn 144 1208;;Chilko;3;1.00;Chilko_south;2;0.00;Portage_Cr;4;0.00;L_Shuswap;4;0.00;Middle;3;0.00
Hakai_P_A12 (15) unkn 144 1213;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 144 1214;;Chilko;3;0.94;Chilko_south;2;0.05;Mitchell;3;0.00;Kuzkwa_Cr;3;0.00;Tachie;3;0.00
Hakai_P_A12 (15) unkn 144 1215;;Mitchell;3;1.00;Blue_Lead_Ck;3;0.00;Wasko_Cr;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 144 1216;;Chilko;3;0.74;Chilko_south;2;0.25;Pinchi_Cr;3;0.00;Thompson_N;2;0.00;Rossette;1;0.00
Hakai_P_A12 (15) unkn 144 1221;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 144 1222;;Chilko;3;0.71;Kuzkwa_Cr;3;0.12;Pinchi_Cr;3;0.06;Chilko_south;2;0.04;Porter_Cr;1;0.02
Hakai_P_A12 (15) unkn 144 1372;;Porter_Cr;1;0.63;Pinchi_Cr;3;0.07;Narrows;1;0.05;Forfar;1;0.05;Stellako;3;0.04
Hakai_P_A12 (15) unkn 144 1373;;Chilko;3;0.44;Thompson_N;2;0.26;Kuzkwa_Cr;3;0.09;Portage_Cr;4;0.09;Eagle_L;4;0.03
Hakai_P_A12 (15) unkn 144 1374;;Porter_Cr;1;0.60;Pinchi_Cr;3;0.15;Kuzkwa_Cr;3;0.10;Stellako;3;0.05;Tachie;3;0.03
Hakai_P_A12 (15) unkn 144 1383;;Birkenhead;3;1.00;Harrison;4;0.00;Thompson_N;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 144 1384;;Portage_Cr;4;0.52;Eagle_L;4;0.15;L_Shuswap;4;0.10;Little;4;0.08;L_Adams;4;0.06
Hakai_P_A12 (15) unkn 144 1391;;Mitchell;3;1.00;Quesnel_Decept;3;0.00;Blue_Lead_Ck;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 145 1111;;Middle;3;0.64;Kuzkwa_Cr;3;0.16;Sandpoint;1;0.06;Porter_Cr;1;0.03;Stellako;3;0.02
Hakai_P_A12 (15) unkn 145 1112;;U_Horsefly;3;0.91;Thompson_N;2;0.07;L_Horsefly;3;0.01;L_Adams;4;0.00;Horsefly;3;0.00
Hakai_P_A12 (15) unkn 145 1113;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 145 1114;;U_Horsefly;3;0.97;Chilko;3;0.01;Horsefly;3;0.01;L_Adams;4;0.01;L_Horsefly;3;0.00
Hakai_P_A12 (15) unkn 145 1115;;Chilko;3;1.00;L_Adams;4;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 1116;;Chilko;3;0.62;Stellako;3;0.19;Kuzkwa_Cr;3;0.09;Middle;3;0.08;U_Horsefly;3;0.02
Hakai_P_A12 (15) unkn 145 1181;;Chilko;3;0.96;U_Horsefly;3;0.03;Chilko_south;2;0.01;;;;;;
Hakai_P_A12 (15) unkn 145 1182;;Chilko;3;0.97;Chilko_south;2;0.01;Birkenhead;3;0.01;Pitt;2;0.00;L_Adams;4;0.00
Hakai_P_A12 (15) unkn 145 605;;Chilko;3;0.52;Chilko_south;2;0.20;L_Adams;4;0.14;Birkenhead;3;0.07;U_Horsefly;3;0.05
Hakai_P_A12 (15) unkn 145 606;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 607;;Mitchell;3;0.99;Chilko;3;0.01;U_Horsefly;3;0.01;Blue_Lead_Ck;3;0.00;Wasko_Cr;3;0.00
Hakai_P_A12 (15) unkn 145 608;;Chilko;3;0.99;Chilko_south;2;0.00;Mitchell;3;0.00;Stellako;3;0.00;Pinchi_Cr;3;0.00
Hakai_P_A12 (15) unkn 145 609;;Mitchell;3;1.00;Quesnel_Mitche;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 610;;U_Horsefly;3;0.97;L_Horsefly;3;0.01;L_Adams;4;0.01;Horsefly;3;0.01;McKinley;3;0.00
Hakai_P_A12 (15) unkn 145 698;;Chilko;3;0.84;Middle;3;0.05;U_Horsefly;3;0.04;L_Adams;4;0.02;Sandpoint;1;0.01
Hakai_P_A12 (15) unkn 145 699;;Chilko;3;0.87;Porter_Cr;1;0.07;Sandpoint;1;0.02;Kynock;1;0.01;Gluskie;1;0.01
Hakai_P_A12 (15) unkn 145 700;;Chilko;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 145 743;;Weaver;4;0.99;Middle;3;0.01;;;;;;;;;
Hakai_P_A12 (15) unkn 145 744;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 145 745;;U_Horsefly;3;0.85;Middle;3;0.10;L_Adams;4;0.01;Hudson_Bay;1;0.01;Horsefly;3;0.01
Hakai_P_A12 (15) unkn 145 746;;Thompson_N;2;1.00;Raft;2;0.00;L_Adams;4;0.00;;;;;;
Hakai_P_A12 (15) unkn 145 747;;Weaver;4;0.72;Birkenhead;3;0.27;Chilko;3;0.01;Middle;3;0.00;;;
Hakai_P_A12 (15) unkn 145 748;;Chilko;3;1.00;Chilko-North;3;0.00;U_Horsefly;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 145 973;;Chilko;3;0.98;Birkenhead;3;0.01;Weaver;4;0.00;;;;;;
Hakai_P_A12 (15) unkn 145 974;;Mitchell;3;1.00;Quesnel_Mitche;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 975;;Middle;3;0.60;Stellako;3;0.16;Chilko;3;0.09;Kuzkwa_Cr;3;0.07;Porter_Cr;1;0.02
Hakai_P_A12 (15) unkn 145 976;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 977;;Mitchell;3;1.00;Chilko;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 145 978;;Chilko;3;0.97;Chilko_south;2;0.02;L_Adams;4;0.01;U_Horsefly;3;0.00;Chilko-North;3;0.00
Hakai_P_A12 (15) unkn 145 979;;Middle;3;0.59;Chilko;3;0.22;Stellako;3;0.18;Kuzkwa_Cr;3;0.01;Nadina;2;0.01
Hakai_P_A12 (15) unkn 145 980;;Mitchell;3;1.00;Wasko_Cr;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1117;;Middle;3;0.46;Porter_Cr;1;0.12;Gluskie;1;0.07;Chilko;3;0.07;Sandpoint;1;0.07
Hakai_P_A12 (15) unkn 146 1118;;Mitchell;3;0.99;Chilko;3;0.01;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1183;;Mitchell;3;1.00;Quesnel_Mitche;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1184;;Mitchell;3;0.99;Roaring;3;0.00;L_Adams;4;0.00;Blue_Lead_Ck;3;0.00;Thompson_N;2;0.00
Hakai_P_A12 (15) unkn 146 1185;;Chilko;3;1.00;Middle;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1347;;Middle;3;0.49;U_Horsefly;3;0.37;Stellako;3;0.06;Kuzkwa_Cr;3;0.03;Gluskie;1;0.01
Hakai_P_A12 (15) unkn 146 1348;;Pitt;2;0.96;Thompson_N;2;0.02;Weaver;4;0.01;Birkenhead;3;0.00;;;
Hakai_P_A12 (15) unkn 146 1349;;Chilko;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1350;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1371;;Weaver;4;1.00;L_Adams;4;0.00;Birkenhead;3;0.00;Chilko;3;0.00;;;
Hakai_P_A12 (15) unkn 146 1381;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 146 1382;;Middle;3;0.98;Porter_Cr;1;0.01;Gluskie;1;0.01;Sandpoint;1;0.00;Pinchi_Cr;3;0.00
Hakai_P_A12 (15) unkn 146 475;;Middle;3;1.00;Kuzkwa_Cr;3;0.00;Sandpoint;1;0.00;Bivouac;1;0.00;;;
Hakai_P_A12 (15) unkn 146 476;;U_Horsefly;3;0.89;L_Adams;4;0.07;Horsefly;3;0.01;Chilko;3;0.01;L_Horsefly;3;0.01
Hakai_P_A12 (15) unkn 146 477;;U_Horsefly;3;0.98;Horsefly;3;0.01;Chilko;3;0.01;L_Horsefly;3;0.00;McKinley;3;0.00
Hakai_P_A12 (15) unkn 146 478;;Chilko;3;0.97;Middle;3;0.01;L_Adams;4;0.01;Gluskie;1;0.01;Chilko-North;3;0.01
Hakai_P_A12 (15) unkn 146 479;;Middle;3;0.99;Chilko;3;0.01;Tachie;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 146 480;;Chilko;3;1.00;U_Horsefly;3;0.00;Chilko_south;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 146 601;;Middle;3;0.47;Chilko;3;0.18;Porter_Cr;1;0.08;Kynock;1;0.07;Gluskie;1;0.05
Hakai_P_A12 (15) unkn 146 602;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 146 603;;L_Adams;4;0.51;Chilko;3;0.49;Chilko_south;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 146 691;;Mitchell;3;1.00;Quesnel_Mitche;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 146 692;;Chilko;3;1.00;L_Adams;4;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 146 693;;Chilko;3;1.00;Scotch;2;0.00;Middle;3;0.00;Chilko-North;3;0.00;Pitt;2;0.00
Hakai_P_A12 (15) unkn 146 694;;Chilko;3;0.58;Middle;3;0.19;U_Horsefly;3;0.11;L_Adams;4;0.05;Chilko_south;2;0.02
Hakai_P_A12 (15) unkn 146 695;;Chilko;3;0.90;Mitchell;3;0.05;U_Horsefly;3;0.05;L_Adams;4;0.01;Middle;3;0.00
Hakai_P_A12 (15) unkn 146 696;;Chilko;3;0.97;L_Adams;4;0.02;Middle;3;0.01;Pitt;2;0.00;Thompson_N;2;0.00
Hakai_P_A12 (15) unkn 146 697;;Chilko;3;0.99;Middle;3;0.01;Chilko_south;2;0.00;Birkenhead;3;0.00;;;
Hakai_P_A12 (15) unkn 146 749;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 146 750;;Chilko;3;0.89;Weaver;4;0.10;Mitchell;3;0.00;L_Adams;4;0.00;U_Horsefly;3;0.00
Hakai_P_A12 (15) unkn 147 1105;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 147 1106;;Pitt;2;0.73;Weaver;4;0.27;;;;;;;;;
Hakai_P_A12 (15) unkn 147 1107;;Middle;3;0.92;Sandpoint;1;0.02;Porter_Cr;1;0.02;Gluskie;1;0.01;Hudson_Bay;1;0.01
Hakai_P_A12 (15) unkn 147 1136;;Weaver;4;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 147 1137;;U_Horsefly;3;0.99;Horsefly;3;0.01;L_Horsefly;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 147 1138;;Chilko;3;0.99;L_Adams;4;0.00;Thompson_N;2;0.00;Raft;2;0.00;;;
Hakai_P_A12 (15) unkn 147 1139;;Chilko;3;0.96;U_Horsefly;3;0.02;L_Adams;4;0.01;Horsefly;3;0.01;Middle;3;0.00
Hakai_P_A12 (15) unkn 147 1141;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 147 1142;;Middle;3;0.87;Chilko;3;0.05;Weaver;4;0.03;Kuzkwa_Cr;3;0.02;Stellako;3;0.01
Hakai_P_A12 (15) unkn 147 1143;;Scotch;2;1.00;L_Adams;4;0.00;Chilko;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 149 1317;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 149 918;;Birkenhead;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 149 919;;Chilko;3;0.99;L_Adams;4;0.01;;;;;;;;;
Hakai_P_A12 (15) unkn 149 920;;Thompson_N;2;0.96;L_Adams;4;0.03;Chilko;3;0.01;Chilko-North;3;0.00;;;
Hakai_P_A12 (15) unkn 149 921;;Chilko;3;1.00;Chilko-North;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 149 922;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 149 923;;Chilko;3;0.77;Mitchell;3;0.11;U_Horsefly;3;0.07;L_Adams;4;0.03;Chilko_south;2;0.02
Hakai_P_A12 (15) unkn 149 930;;Middle;3;0.83;Stellako;3;0.09;Porter_Cr;1;0.02;Kynock;1;0.01;Kuzkwa_Cr;3;0.01
Hakai_P_A12 (15) unkn 149 943;;Middle;3;0.93;Stellako;3;0.02;Kuzkwa_Cr;3;0.02;L_Adams;4;0.02;Tachie;3;0.01
Hakai_P_A12 (15) unkn 149 953;;Chilko;3;0.99;Weaver;4;0.01;Chilko_south;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 149 954;;U_Horsefly;3;0.92;L_Horsefly;3;0.03;Horsefly;3;0.02;L_Adams;4;0.01;Chilko;3;0.01
Hakai_P_A12 (15) unkn 149 955;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 149 966;;L_Adams;4;0.89;Chilko;3;0.07;Scotch;2;0.02;Sandpoint;1;0.01;Seymour;2;0.01
Hakai_P_A12 (15) unkn 149 967;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 149 968;;U_Horsefly;3;0.94;L_Adams;4;0.04;L_Horsefly;3;0.02;Chilko;3;0.00;Thompson_N;2;0.00
Hakai_P_A12 (15) unkn 149 981;;Chilko;3;0.70;Chilko_south;2;0.18;Pitt;2;0.11;Chilko-North;3;0.01;L_Adams;4;0.01
Hakai_P_A12 (15) unkn 150 1065;;Chilko;3;0.95;Chilko_south;2;0.05;Chilko-North;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 150 1080;;L_Adams;4;0.94;Scotch;2;0.03;Chilko;3;0.02;Middle;3;0.00;Seymour;2;0.00
Hakai_P_A12 (15) unkn 150 1089;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1090;;L_Adams;4;0.80;Chilko;3;0.15;U_Horsefly;3;0.02;Thompson_N;2;0.01;Little;4;0.01
Hakai_P_A12 (15) unkn 150 1091;;Weaver;4;0.85;L_Adams;4;0.09;Scotch;2;0.03;Thompson_N;2;0.01;Seymour;2;0.01
Hakai_P_A12 (15) unkn 150 1096;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1097;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1098;;L_Adams;4;0.95;Scotch;2;0.03;Little;4;0.01;Weaver;4;0.01;MiddleShuswap;4;0.00
Hakai_P_A12 (15) unkn 150 1099;;Chilko;3;1.00;Mitchell;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1100;;Chilko;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1101;;Chilko;3;0.99;Chilko_south;2;0.01;Chilko-North;3;0.00;Middle;3;0.00;Stellako;3;0.00
Hakai_P_A12 (15) unkn 150 1121;;Chilko;3;1.00;Chilko_south;2;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1344;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 150 1345;;Chilko;3;0.74;U_Horsefly;3;0.25;Horsefly;3;0.01;Chilko_south;2;0.00;Mitchell;3;0.00
Hakai_P_A12 (15) unkn 150 1346;;Mitchell;3;0.95;Chilko;3;0.04;U_Horsefly;3;0.01;Scotch;2;0.00;L_Adams;4;0.00
Hakai_P_A12 (15) unkn 150 1358;;Chilko;3;0.99;Chilko_south;2;0.01;Chilko-North;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 150 1359;;Chilko;3;1.00;Middle;3;0.00;Chilko_south;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 150 1360;;Chilko;3;0.59;Thompson_N;2;0.15;Chilko_south;2;0.08;L_Adams;4;0.07;Middle;3;0.07
Hakai_P_A12 (15) unkn 150 1368;;Scotch;2;0.89;Seymour;2;0.08;Eagle;2;0.03;;;;;;
Hakai_P_A12 (15) unkn 150 1370;;Chilko;3;1.00;Chilko_south;2;0.00;Chilko-North;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 150 474;;Chilko;3;0.48;Middle;3;0.46;Porter_Cr;1;0.02;Kuzkwa_Cr;3;0.01;Hudson_Bay;1;0.01
Hakai_P_A12 (15) unkn 150 856;;L_Adams;4;0.98;U_Horsefly;3;0.02;;;;;;;;;
Hakai_P_A12 (15) unkn 150 880;;Scotch;2;0.79;L_Adams;4;0.09;Middle;3;0.09;Seymour;2;0.02;Eagle_L;4;0.01
Hakai_P_A12 (15) unkn 150 936;;Chilko;3;0.83;Porter_Cr;1;0.06;Gluskie;1;0.02;Chilko_south;2;0.02;Sandpoint;1;0.02
Hakai_P_A12 (15) unkn 150 937;;Birkenhead;3;0.66;Weaver;4;0.33;Middle;3;0.01;Chilko;3;0.00;;;
Hakai_P_A12 (15) unkn 150 938;;Chilko;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1008;;Chilko;3;0.96;Middle;3;0.02;Kuzkwa_Cr;3;0.01;L_Adams;4;0.01;Chilko_south;2;0.01
Hakai_P_A12 (15) unkn 151 1009;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1010;;Middle;3;0.37;Birkenhead;3;0.30;L_Adams;4;0.15;Scotch;2;0.07;Chilko;3;0.04
Hakai_P_A12 (15) unkn 151 1015;;Chilko;3;0.96;Pitt;2;0.02;Chilko_south;2;0.01;Middle;3;0.01;Weaver;4;0.00
Hakai_P_A12 (15) unkn 151 1016;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1017;;Pitt;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1022;;Chilko;3;1.00;Chilko_south;2;0.00;McKinley;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 151 1031;;Chilko;3;0.53;U_Horsefly;3;0.17;Middle;3;0.12;Chilko_south;2;0.05;L_Adams;4;0.05
Hakai_P_A12 (15) unkn 151 1032;;Chilko;3;0.80;L_Adams;4;0.14;Middle;3;0.02;Thoms_Lake;20;0.01;Scotch;2;0.01
Hakai_P_A12 (15) unkn 151 1041;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1064;;Gates_Cr;2;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1076;;Chilko;3;1.00;L_Adams;4;0.00;Chilko_south;2;0.00;;;;;;
Hakai_P_A12 (15) unkn 151 1077;;L_Adams;4;0.79;Thompson_N;2;0.08;Chilko;3;0.08;U_Horsefly;3;0.02;L_Horsefly;3;0.01
Hakai_P_A12 (15) unkn 151 1078;;Chilko;3;0.98;Chilko_south;2;0.02;L_Adams;4;0.00;Kynock;1;0.00;;;
Hakai_P_A12 (15) unkn 151 1079;;Chilko;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1084;;Chilko;3;0.93;Kuzkwa_Cr;3;0.02;Middle;3;0.02;Stellako;3;0.00;Chilko_south;2;0.00
Hakai_P_A12 (15) unkn 151 1085;;Chilko;3;0.59;U_Horsefly;3;0.19;Chilko_south;2;0.18;L_Adams;4;0.03;Chilko-North;3;0.01
Hakai_P_A12 (15) unkn 151 1086;;Chilko;3;0.99;Chilko-North;3;0.01;Mitchell;3;0.00;Middle;3;0.00;Chilko_south;2;0.00
Hakai_P_A12 (15) unkn 151 1087;;Chilko;3;0.98;U_Horsefly;3;0.01;Chilko_south;2;0.01;Horsefly;3;0.00;Middle;3;0.00
Hakai_P_A12 (15) unkn 151 1088;;L_Adams;4;0.70;Thompson_N;2;0.22;Seymour;2;0.05;Scotch;2;0.02;Little;4;0.01
Hakai_P_A12 (15) unkn 151 1170;;U_Horsefly;3;0.99;L_Horsefly;3;0.01;Chilko;3;0.00;;;;;;
Hakai_P_A12 (15) unkn 151 1174;;Chilko;3;1.00;U_Horsefly;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 151 1175;;Chilko;3;0.97;Chilko_south;2;0.03;L_Adams;4;0.00;;;;;;
Hakai_P_A12 (15) unkn 151 1194;;U_Horsefly;3;0.99;L_Horsefly;3;0.00;Thompson_N;2;0.00;Horsefly;3;0.00;McKinley;3;0.00
Hakai_P_A12 (15) unkn 151 1195;;U_Horsefly;3;0.97;L_Adams;4;0.02;L_Horsefly;3;0.01;Horsefly;3;0.00;;;
Hakai_P_A12 (15) unkn 151 1196;;Chilko;3;0.93;Mitchell;3;0.03;L_Adams;4;0.02;Middle;3;0.02;Chilko_south;2;0.01
Hakai_P_A12 (15) unkn 151 1201;;Chilko;3;0.66;U_Horsefly;3;0.17;Middle;3;0.11;Stellako;3;0.05;Horsefly;3;0.00
Hakai_P_A12 (15) unkn 151 1202;;L_Adams;4;1.00;Chilko;3;0.00;Little;4;0.00;;;;;;
